Timestamp,Column
3/28/2014 19:39:06,Massimo Vignelli
3/28/2014 19:39:07,Massimo Vignelli
3/28/2014 19:39:06,Massimo Vignelli
3/28/2014 19:39:07,Massimo Vignelli
3/28/2014 19:39:07,Massimo Vignelli
3/28/2014 19:39:07,Massimo Vignelli
3/28/2014 19:39:07,Massimo Vignelli
3/28/2014 19:39:08,Massimo Vignelli
3/28/2014 19:39:08,Massimo Vignelli
3/28/2014 19:39:08,Massimo Vignelli
3/28/2014 19:39:09,Massimo Vignelli
3/28/2014 19:39:09,Massimo Vignelli
3/28/2014 19:39:09,Massimo Vignelli
3/28/2014 19:39:09,Massimo Vignelli
3/28/2014 19:39:10,Massimo Vignelli
3/28/2014 19:39:10,Massimo Vignelli
3/28/2014 19:39:10,Massimo Vignelli
3/28/2014 19:39:10,Massimo Vignelli
3/28/2014 19:39:10,Massimo Vignelli
3/28/2014 19:39:11,Massimo Vignelli
3/28/2014 19:39:11,Massimo Vignelli
3/28/2014 19:39:11,Massimo Vignelli
3/28/2014 19:39:11,Massimo Vignelli
3/28/2014 19:39:12,Massimo Vignelli
3/28/2014 19:39:12,Massimo Vignelli
3/28/2014 19:39:12,Massimo Vignelli
3/28/2014 19:39:12,Massimo Vignelli
3/28/2014 19:39:12,Massimo Vignelli
3/28/2014 19:39:13,Massimo Vignelli
3/28/2014 19:39:13,Massimo Vignelli
3/28/2014 19:39:13,Massimo Vignelli
3/28/2014 19:39:13,Massimo Vignelli
3/28/2014 19:39:13,Massimo Vignelli
3/28/2014 19:39:14,Massimo Vignelli
3/28/2014 19:39:14,Massimo Vignelli
3/28/2014 19:39:14,Massimo Vignelli
3/28/2014 19:39:15,Massimo Vignelli
3/28/2014 19:39:14,Massimo Vignelli
3/28/2014 19:39:15,Massimo Vignelli
3/28/2014 19:39:15,Massimo Vignelli
3/28/2014 19:39:15,Massimo Vignelli
3/28/2014 19:39:15,Massimo Vignelli
3/28/2014 19:39:16,Massimo Vignelli
3/28/2014 19:39:16,Massimo Vignelli
3/28/2014 19:39:16,Massimo Vignelli
3/28/2014 19:39:16,Massimo Vignelli
3/28/2014 19:39:16,Massimo Vignelli
3/28/2014 19:39:17,Massimo Vignelli
3/28/2014 19:39:17,Massimo Vignelli
3/28/2014 19:39:17,Massimo Vignelli
3/28/2014 19:39:17,Massimo Vignelli
